ID,x,y,rotation_angle
29,11.4675,2.392497583,0
30,16.445,2.392497583,0
31,21.4225,2.392497583,0
32,26.4,2.392497583,0
33,31.3775,2.392497583,0
34,36.355,2.392497583,0
35,41.3325,2.392497583,0
25,11.4675,7.369992556,0
26,21.4225,7.369992556,0
27,31.3775,7.369992556,0
28,41.3325,7.369992556,0
18,11.4675,12.34748753,0
19,16.445,10.47748942,0
20,21.4225,12.34748753,0
21,26.4,10.47748942,0
22,31.3775,12.34748753,0
23,36.355,10.47748942,0
24,41.3325,12.34748753,0
11,11.4675,17.3249825,0
12,16.445,19.19498061,0
13,21.4225,17.3249825,0
14,26.4,19.19498061,0
15,31.3775,17.3249825,0
16,36.355,19.19498061,0
17,41.3325,17.3249825,0
7,11.4675,22.30247747,0
8,21.4225,22.30247747,0
9,31.3775,22.30247747,0
10,41.3325,22.30247747,0
0,11.4675,27.27997244,0
1,16.445,27.27997244,0
2,21.4225,27.27997244,0
3,26.4,27.27997244,0
4,31.3775,27.27997244,0
5,36.355,27.27997244,0
6,41.3325,27.27997244,0
